scenario,comparisons,matches,excluded_comparisons,agreement_percent,note
all_conceptual_comparisons,1980,1867,0,94.29,Semantic/resolved agreement over all public aggregate comparisons.
excluding_empty_empty,1685,1572,295,93.29,Excludes 295 comparisons in which both values were empty.
