reviewer,records,comparisons,matches,disagreements,agreement_percent,weighted_agreement_percent,ci95_lower_percent,ci95_upper_percent,empty_empty,informative_comparisons,informative_matches,informative_agreement_percent,records_without_discrepancies,records_with_discrepancies
A,60,660,594,66,90.00,89.97,86.45,93.29,101,559,493,88.19,34,26
B,60,660,594,66,90.00,89.96,86.44,93.26,101,559,493,88.19,33,27
